,shelter_index,shelter_yoy,shelter_weight,shelter_contribution,food_index,food_yoy,food_weight,food_contribution,energy_index,energy_yoy,energy_weight,energy_contribution,medical_index,medical_yoy,medical_weight,medical_contribution,transportation_index,transportation_yoy,transportation_weight,transportation_contribution,apparel_index,apparel_yoy,apparel_weight,apparel_contribution,tracked_contribution
2022-06-01,352.616,5.625833121152657,0.369,2.0759324217053305,304.834,10.448301974296825,0.135,1.4105207665300714,330.456,41.460512065341625,0.065,2.6949332842472056,546.741,4.519603363799196,0.065,0.29377421864694775,278.932,19.626536975326903,0.085,1.6682556429027868,127.432,5.021468777557092,0.025,0.1255367194389273,8.268953053471268
2022-07-01,354.68,5.733858802907177,0.369,2.115793898272748,308.193,10.935413389582195,0.135,1.4762808075935963,314.345,32.92217786949021,0.065,2.139941561516864,549.846,4.871001150089538,0.065,0.31661507475581996,272.71,16.301682410388718,0.085,1.385643004883041,127.394,5.007459672433834,0.025,0.12518649181084585,7.559460838832916
2022-08-01,357.048,6.257328389212624,0.369,2.3089541756194585,310.794,11.39170639045195,0.135,1.5378803627110134,298.331,23.947202233559906,0.065,1.556568145181394,552.902,5.3762867047969065,0.065,0.3494586358117989,265.977,13.380479819939639,0.085,1.1373407846948693,127.422,4.869758446154471,0.025,0.12174396115386177,7.0119460651723955
2022-09-01,359.601,6.59360855117872,0.369,2.4330415553849476,312.901,11.207821840591969,0.135,1.5130559484799158,294.103,19.89425279859114,0.065,1.2931264319084241,556.309,5.989056421160122,0.065,0.3892886673754079,265.46,12.592781100224792,0.085,1.0703863935191074,127.588,5.400203220130351,0.025,0.13500508050325877,6.833904077171061
2022-10-01,362.353,6.905188996542244,0.369,2.548014739724088,315.038,10.939810967278474,0.135,1.476874480582594,299.945,17.738149444959106,0.065,1.1529797139223419,554.065,5.006358393553301,0.065,0.32541329558096455,268.123,11.227126968916323,0.085,0.9543057923578876,127.777,4.248184710777525,0.025,0.10620461776943813,6.563792639937314
2022-11-01,364.695,7.091888272881031,0.369,2.6169067726931003,316.62,10.64787472348514,0.135,1.437463087670494,298.107,13.005784729224645,0.065,0.845376007399602,551.498,4.146224473224036,0.065,0.26950459075956235,267.391,7.790265493860504,0.085,0.6621725669781429,128.338,3.8249332578270234,0.025,0.09562333144567559,5.927046356946576
2022-12-01,367.466,7.467880946740735,0.369,2.7556480693473313,317.813,10.423818325851597,0.135,1.4072154739899656,286.33,6.879831578318685,0.065,0.4471890525907145,552.002,3.9463698933235314,0.065,0.25651404306602954,262.161,3.572642008865423,0.085,0.30367457075356097,128.475,2.9834953868844716,0.025,0.07458738467211179,5.2448285944197135
2023-01-01,369.911,7.890438607236816,0.369,2.911571846070385,319.3,10.074221672176709,0.135,1.3600199257438557,292.615,8.300115844834544,0.065,0.5395075299142453,550.992,3.0479058154648797,0.065,0.19811387800521718,263.597,3.542318887260909,0.085,0.30109710541717727,129.43,3.1512002295259744,0.025,0.07878000573814936,5.389090290889031
2023-02-01,372.636,8.10287057048782,0.369,2.9899592405100055,320.543,9.438065681344089,0.135,1.274138866981452,288.702,4.859764203369155,0.065,0.31588467321899505,549.313,2.372419551122573,0.065,0.15420727082296726,263.822,2.322027653344194,0.085,0.19737235053425653,130.239,3.3667468273054224,0.025,0.08416867068263556,5.015731072750311
2023-03-01,374.678,8.164643933532712,0.369,3.012753611473571,320.554,8.461626954856438,0.135,1.1423196389056192,282.868,-6.6747168416919855,0.065,-0.43385659470997906,547.138,1.5004174009832338,0.065,0.0975271310639102,263.521,-1.161586989625596,0.085,-0.09873489411817567,130.426,3.1500359845938464,0.025,0.07875089961484616,3.7987597922297915
2023-04-01,376.404,8.09062975619561,0.369,2.9854423800361802,321.213,7.667116937443663,0.135,1.0350607865548946,280.86,-4.939838554094522,0.065,-0.32108950601614394,546.99,1.036987232533404,0.065,0.06740417011467126,265.284,0.27252488065223623,0.085,0.02316461485544008,130.573,3.5488271027296348,0.025,0.08872067756824087,3.878703123113283
2023-05-01,378.304,8.023894644264473,0.369,2.9608171237335905,322.009,6.71206773707147,0.135,0.9061291445046485,274.273,-11.253446022028657,0.065,-0.7314739914318626,547.446,0.7178811650942807,0.065,0.046662275731128244,265.15,-1.6509582679589574,0.085,-0.14033145277651138,131.003,3.4019243367826135,0.025,0.08504810841956534,3.1268512081805584
2023-06-01,380.155,7.809912199106117,0.369,2.8818576014701573,322.365,5.750998904321691,0.135,0.7763848520834283,275.712,-16.566199433510064,0.065,-1.0768029631781542,547.299,0.10205929315709739,0.065,0.00663385405521133,265.787,-4.712618129149771,0.085,-0.40057254097773054,131.118,2.892523071128128,0.025,0.0723130767782032,2.2598138802311154
2023-07-01,381.895,7.673113792714559,0.369,2.831378989511672,323.201,4.86967582002189,0.135,0.6574062357029552,275.548,-12.342171817588966,0.065,-0.8022411681432828,547.141,-0.49195592947843814,0.065,-0.03197713541609848,265.613,-2.6023981518829453,0.085,-0.22120384291005038,131.352,3.106896714130958,0.025,0.07767241785327395,2.51103549659847
2023-08-01,382.947,7.2536465685286045,0.369,2.676595583787055,324.042,4.2626305527133646,0.135,0.5754551246163042,287.31,-3.694218837465768,0.065,-0.24012422443527492,547.687,-0.9432051249588569,0.065,-0.0613083331223257,270.442,1.6787165807570004,0.085,0.14269090936434503,131.16,2.9335593539577154,0.025,0.07333898384894288,3.1666480440590465
2023-09-01,385.285,7.142360560732608,0.369,2.6355310469103324,324.379,3.668252897881441,0.135,0.4952141412139946,292.623,-0.5032250606080257,0.065,-0.03270962893952167,548.398,-1.4220514138724938,0.065,-0.0924333419017121,271.893,2.423340616288705,0.085,0.20598395238453995,130.338,2.155375113647051,0.025,0.05388437784117628,3.2654705475088095
2023-10-01,386.771,6.738732672283665,0.369,2.486592356072672,325.442,3.3024587510078085,0.135,0.4458319313860542,286.765,-4.3941389254696706,0.065,-0.2856190301555286,549.793,-0.7710286699214031,0.065,-0.0501168635448912,270.239,0.789190035916354,0.085,0.06708115305289009,131.274,2.7367992674738106,0.025,0.06841998168684527,2.7321895284980418
2023-11-01,388.525,6.5342272309738325,0.369,2.411129848229344,325.93,2.9404333270166116,0.135,0.39695849914724257,282.146,-5.354117816757076,0.065,-0.3480176580892099,552.42,0.1671810233219162,0.065,0.010866766515924553,269.558,0.8104236866610881,0.085,0.06888601336619249,130.099,1.3721578955570468,0.025,0.03430394738892617,2.5741274165584205
2023-12-01,390.139,6.170094648212343,0.369,2.2767649251903546,326.434,2.7126014354353245,0.135,0.3662011937837688,280.763,-1.944260119442609,0.065,-0.12637690776376959,554.406,0.4355056684577141,0.065,0.028307868449751417,269.187,2.6800324991131497,0.085,0.22780276242461775,129.942,1.141856392294227,0.025,0.028546409807355677,2.8012462518920787
2024-01-01,392.322,6.05848433812457,0.369,2.2355807207679663,327.424,2.544315690573118,0.135,0.3434826182273709,279.953,-4.327187601455851,0.065,-0.2812671940946303,556.741,1.0433908296309191,0.065,0.06782040392600974,267.931,1.644176527046981,0.085,0.1397550047989934,129.685,0.197017692961432,0.025,0.0049254423240358,2.5102969959497456
2024-02-01,394.078,5.754140770081251,0.369,2.1232779441599816,327.707,2.2349575563964885,0.135,0.30171927011352595,283.331,-1.8603958406938625,0.065,-0.12092572964510107,557.163,1.4290577503172086,0.065,0.09288875377061856,270.904,2.684385684287127,0.085,0.22817278316440584,130.309,0.0537473414261358,0.025,0.001343683535653395,2.6264767050990847
2024-03-01,395.827,5.644580146152167,0.369,2.0828500739301496,327.774,2.2523506179926045,0.135,0.3040673334290016,288.688,2.057496782951773,0.065,0.13373729089186526,559.269,2.2171737294795824,0.065,0.14411629241617285,274.332,4.102519343809408,0.085,0.34871414422379965,130.956,0.40636069495345595,0.025,0.010159017373836399,3.0236441522648256
2024-04-01,397.196,5.523852031328058,0.369,2.0383013995600536,328.449,2.2527108180553146,0.135,0.30411596043746747,287.611,2.403688670511994,0.065,0.15623976358327962,561.275,2.6115651108795435,0.065,0.16975173220717032,274.564,3.4981378447249023,0.085,0.2973417168016167,132.237,1.2743829122406458,0.025,0.031859572806016145,2.9976101453956034
2024-05-01,398.689,5.388523515479626,0.369,1.9883651772119821,328.949,2.1552192640578394,0.135,0.2909546006478083,284.165,3.6066255154535876,0.065,0.2344306585044832,564.191,3.0587491734344496,0.065,0.19881869627323923,272.306,2.698849707712614,0.085,0.2294022251555722,132.027,0.7816614886682061,0.025,0.01954153721670515,2.96151289500979
2024-06-01,399.699,5.141060883060877,0.369,1.8970514658494637,329.6,2.24435034820778,0.135,0.30298729700805027,278.284,0.93285747446612,0.065,0.0606357358402978,564.997,3.2336985815797137,0.065,0.2101904078026814,269.014,1.2141301117060133,0.085,0.10320105949501114,131.956,0.6391189615460924,0.025,0.01597797403865231,2.5900439400341564
2024-07-01,401.139,5.0390814229042125,0.369,1.8594210450516544,330.329,2.205438720796038,0.135,0.2977342273074651,278.287,0.9940191908487828,0.065,0.06461124740517088,564.593,3.189671400973415,0.065,0.20732864106327198,268.745,1.1791591526017164,0.085,0.10022852797114591,131.569,0.16520494548997178,0.025,0.004130123637249294,2.5334538124359574
2024-08-01,402.895,5.209075929567275,0.369,1.9221490180103245,330.748,2.0694848198690385,0.135,0.2793804506823202,275.706,-4.038843061501507,0.065,-0.26252479899759795,564.183,3.011939301097155,0.065,0.19577605457131508,268.745,-0.6274912920330444,0.085,-0.053336759822808784,131.415,0.1944190301921278,0.025,0.004860475754803195,2.086304440198356
2024-09-01,403.956,4.846023073828465,0.369,1.7881825142427035,331.753,2.2732667651111704,0.135,0.306891013290008,272.681,-6.814912019902741,0.065,-0.4429692812936782,566.256,3.256394078753022,0.065,0.21166561511894644,268.853,-1.1180868944768552,0.085,-0.09503738603053269,132.539,1.6886863385965567,0.025,0.04221715846491392,1.8109496337923607
2024-10-01,405.721,4.89954003790356,0.369,1.8079302739864138,332.463,2.1573736641244956,0.135,0.2912454446568069,273.003,-4.799051488152317,0.065,-0.3119383467299006,567.974,3.3068809533770116,0.065,0.21494726196950575,269.476,-0.2823426670465645,0.085,-0.023999126698957984,131.741,0.35574447339155046,0.025,0.008893611834788762,1.9870791190186567
2024-11-01,407.114,4.784505501576475,0.369,1.7654825300817192,333.629,2.362163654772509,0.135,0.3188920933942887,273.281,-3.141990317069887,0.065,-0.20422937060954266,569.476,3.087505883204811,0.065,0.2006878824083127,270.397,0.31125026895881813,0.085,0.026456272861499545,131.692,1.2244521479796378,0.025,0.030611303699490944,2.1379007118357687
2024-12-01,408.165,4.620404522490706,0.369,1.7049292687990707,334.464,2.4599153274474927,0.135,0.3320885692054115,279.829,-0.3326649166734863,0.065,-0.02162321958377661,570.11,2.832581176971405,0.065,0.18411777650314132,273.39,1.5613681195600027,0.085,0.13271629016260023,131.568,1.251327515353018,0.025,0.03128318788382545,2.3635118729702733
2025-01-01,409.579,4.398682714708846,0.369,1.623113921727564,335.441,2.44850713448006,0.135,0.3305484631548081,282.272,0.8283533307376745,0.065,0.05384296649794884,571.366,2.6268947320208236,0.065,0.17074815758135353,276.016,3.017567955928957,0.085,0.25649327625396134,130.436,0.5790955006361509,0.025,0.014477387515903772,2.4492241727315394
2025-02-01,410.793,4.241546089860382,0.369,1.565130507158481,336.065,2.5504490291632376,0.135,0.34431061893703707,282.096,-0.4358859425901196,0.065,-0.028332586268357773,573.284,2.8934082126774285,0.065,0.18807153382403285,275.019,1.5189882762897566,0.085,0.1291140034846293,131.095,0.6031816681886903,0.025,0.015079541704717259,2.2133736188405395
2025-03-01,411.639,3.99467444110686,0.369,1.4740348687684315,337.331,2.9157285202609184,0.135,0.393623350235224,278.906,-3.3884331873856866,0.065,-0.22024815718006963,574.069,2.6463115245078717,0.065,0.17201024909301166,271.76,-0.9375501217502857,0.085,-0.07969176034877429,131.388,0.3298817923577557,0.025,0.008247044808943893,1.7479755953767668
2025-04-01,413.04,3.988962628022441,0.369,1.4719272097402807,337.493,2.753547734960371,0.135,0.3717289442196501,277.343,-3.5700998918678284,0.065,-0.23205649297140885,576.548,2.7211260077502075,0.065,0.1768731905037635,270.662,-1.4211622791043377,0.085,-0.12079879372386872,131.201,-0.7834418506166951,0.025,-0.01958604626541738,1.6480880115029992
2025-05-01,414.109,3.867676309103074,0.369,1.4271725580590344,338.474,2.895585637895226,0.135,0.3909040611158555,275.377,-3.0925694578853857,0.065,-0.20101701476255007,578.073,2.460514258469204,0.065,0.15993342680049827,269.009,-1.2107702364251849,0.085,-0.10291547009614073,130.782,-0.9429889340816455,0.025,-0.023574723352041138,1.6505028377646562
2025-06-01,414.981,3.823377091261171,0.369,1.410826146675372,339.468,2.9939320388349566,0.135,0.40418082524271914,276.558,-0.6202296934067375,0.065,-0.04031493007143794,580.527,2.748687161170782,0.065,0.17866466547610083,269.017,0.0011151835963785217,0.085,9.479060569217436e-05,131.214,-0.5623086483373174,0.025,-0.014057716208432935,1.9393937817200133
2025-07-01,415.931,3.6874998441936535,0.369,1.3606874425074582,339.891,2.8946898395236342,0.135,0.3907831283356906,274.85,-1.2350558955322888,0.065,-0.08027863320959877,584.45,3.5170467929995786,0.065,0.2286080415449726,269.382,0.23702766563098443,0.085,0.020147351578633677,131.354,-0.16341235397394627,0.025,-0.004085308849348657,1.9158620219078075
2025-08-01,417.555,3.6386651608980136,0.369,1.342667444371367,341.32,3.1963912102265235,0.135,0.43151281338058073,276.734,0.37286094608022236,0.065,0.024235961495214453,583.809,3.478658520373701,0.065,0.22611280382429055,271.591,1.0589964464455148,0.085,0.09001469794786876,131.694,0.21230453144618355,0.025,0.005307613286154589,2.119851334305476
2025-09-01,418.422,3.581083088257131,0.369,1.3214196595668812,342.086,3.1146666345142293,0.135,0.42047999565942096,280.7,2.940798955556123,0.065,0.191151932111148,584.872,3.287558983922456,0.065,0.21369133395495965,273.656,1.78647811257453,0.085,0.15185063956883504,132.411,-0.09657534763352071,0.025,-0.002414383690838018,2.2961791771704068
2025-11-01,419.431,3.3791694292383045,0.369,1.2469135193889345,342.386,2.9846930335104993,0.135,0.4029335595239174,284.648,4.265520891711838,0.065,0.2772588579612695,585.987,3.171447988816367,0.065,0.20614411927306386,274.113,1.720746931081063,0.085,0.14626348914189036,131.883,0.1077872492238452,0.025,0.00269468123059613,2.282208226519672
2025-12-01,421.039,3.4204178682138098,0.369,1.2621341933708958,344.632,3.297974696444239,0.135,0.44522658401997234,285.624,4.516596470299805,0.065,0.29357877056948734,588.092,3.2689700707316804,0.065,0.21248305459755923,274.073,1.3594825386376241,0.085,0.11555601578419807,132.317,0.474592230355686,0.025,0.01186480575889215,2.340843424101005
2026-01-01,421.965,3.380985630811062,0.369,1.2475836977692818,345.271,3.2311399732108725,0.135,0.43620389638346785,281.436,0.5742792919961826,0.065,0.037328153979751866,589.61,3.42039255582256,0.065,0.2223255161284664,273.21,-0.06584000877867258,0.085,-0.005596400746187169,132.723,0.8778730390368583,0.025,0.021946825975921458,1.9597916894907021
