,shelter_index,rent_index,oer_index,headline_index,shelter_yoy,rent_yoy,oer_yoy,headline_yoy
2019-01-01,312.998,325.314,320.571,252.561,3.2271043787700293,3.4282789295808636,3.197944868125835,1.4875893578291333
2019-02-01,314.072,326.22,321.56,253.319,3.386616806678444,3.508671730728974,3.324732578651912,1.5188615351321877
2019-03-01,315.051,327.539,322.538,254.277,3.3591197196960687,3.689317314845586,3.3090225395330686,1.8831863513063984
2019-04-01,316.172,328.816,323.616,255.233,3.4188146015962317,3.740535083291263,3.3358985084730675,2.000583470209061
2019-05-01,317.03,329.617,324.449,255.296,3.3317253787384926,3.7294738895917057,3.338238291800444,1.7959105553606136
2019-06-01,317.949,330.919,325.418,255.213,3.504751239489168,3.864321876167165,3.4156417834556807,1.671194894390049
2019-07-01,318.777,331.935,326.218,255.802,3.4822269112157134,3.84586506153759,3.372246305168969,1.826331335037068
2019-08-01,319.37,332.781,327.043,256.036,3.3546491307555826,3.71532755719004,3.3520206297640076,1.7376412106666406
2019-09-01,320.436,333.92,327.953,256.43,3.52608215248027,3.842792858631139,3.4176875896756664,1.6844977040391562
2019-10-01,320.862,334.558,328.581,257.155,3.3701566683097095,3.755966096753882,3.321510103201719,1.7339736996186295
2019-11-01,321.611,335.484,329.44,257.879,3.329831291546581,3.661863901394491,3.269166266993917,2.092290394862917
2019-12-01,322.247,336.418,330.255,258.63,3.2406161495777352,3.702128184261788,3.276658421337375,2.3195274699624457
2020-01-01,323.487,337.591,331.327,259.127,3.3511396238953717,3.7738923009768888,3.355262952668814,2.599767976845202
2020-02-01,324.483,338.489,332.056,259.25,3.314845003693412,3.7609588621175805,3.2640875730812313,2.3413166797595197
2020-03-01,324.54,339.502,332.877,258.076,3.0118933125113267,3.652389486442842,3.205513768920243,1.4940399642909163
2020-04-01,324.391,340.225,333.532,256.032,2.5995344306263712,3.4697216680453558,3.06412538317018,0.3130472940411133
2020-05-01,324.973,341.007,334.293,255.802,2.505441125445551,3.455525655533531,3.0340669874155957,0.1982013035848551
2020-06-01,325.425,341.524,334.617,257.042,2.3513204947963384,3.204711727038956,2.8268258055792916,0.7166562831830481
2020-07-01,326.249,342.312,335.334,258.352,2.3439583156877886,3.1262144697004057,2.7944503368912743,0.9968647625897997
2020-08-01,326.782,342.65,335.891,259.316,2.320819112627981,2.965614022435159,2.7054546344058794,1.2810698495523853
2020-09-01,327.043,342.986,336.126,259.997,2.0618781909648165,2.71502156205079,2.4921253960171086,1.3910228912373812
2020-10-01,327.421,343.502,336.841,260.319,2.0441809874650163,2.673378009194227,2.5138398142315,1.2303863428671624
2020-11-01,327.801,343.731,336.982,260.911,1.9246854118795786,2.4582394391386764,2.289339485186992,1.1757452138405844
2020-12-01,328.217,344.125,337.456,262.045,1.852616160895204,2.2909000112954603,2.180436329502977,1.3204191315779434
2021-01-01,328.535,344.489,337.954,262.687,1.5604954758614786,2.0433009173822736,2.000138835651799,1.3738437137002402
2021-02-01,329.124,345.099,338.78,263.579,1.4302752378398953,1.9527961026798657,2.024959645361024,1.6698167791706853
2021-03-01,329.947,345.658,339.559,264.961,1.6660504098108042,1.8132441046002645,2.0073480594934523,2.6678187820641908
2021-04-01,331.208,346.357,340.371,266.614,2.1014763048296636,1.8023366889558412,2.050477915162552,4.133077115360573
2021-05-01,332.111,347.242,341.339,268.383,2.1964901699525807,1.828408214494126,2.107731840032545,4.918257089467626
2021-06-01,333.835,348.07,342.479,270.654,2.58431282169469,1.916702779306867,2.349551875726563,5.295632620349999
2021-07-01,335.446,348.853,343.51,271.903,2.8190124720688825,1.9108298861856943,2.438166126906305,5.245169381309234
2021-08-01,336.022,349.983,344.4,272.676,2.8275731221425904,2.1400846344666657,2.5332622785367853,5.152015301793966
2021-09-01,337.357,351.306,345.833,273.91,3.1537137318334407,2.4257549870840167,2.88790513081405,5.351215590949132
2021-10-01,338.948,352.771,347.414,276.55,3.5205438869223338,2.6983831244068446,3.1388696744161226,6.235042390298062
2021-11-01,340.544,354.215,348.902,278.919,3.8874195014658275,3.050059494197499,3.537280923016639,6.901970403700863
2021-12-01,341.931,355.588,350.281,280.845,4.178333236852438,3.331057028695983,3.8004954720022743,7.174340285065539
2022-01-01,342.858,357.411,351.723,282.543,4.359657266349082,3.7510631689255725,4.074223119122733,7.558805726967832
2022-02-01,344.705,359.438,353.327,284.5,4.7340819873360696,4.155039568355745,4.293937068303921,7.937278766517819
2022-03-01,346.396,360.989,354.948,287.674,4.985346131348378,4.435308889133172,4.532054812271191,8.572204966013853
2022-04-01,348.23,363.062,356.68,288.561,5.139368614284678,4.823058289568283,4.791536294220133,8.231750770777225
2022-05-01,350.204,365.376,358.746,291.298,5.447877366302234,5.2222945381031005,5.099622369550505,8.538171195642065
2022-06-01,352.616,368.216,361.281,294.957,5.625833121152657,5.787916223748102,5.489971647896663,8.979361103105798
2022-07-01,354.68,370.916,363.586,294.913,5.733858802907177,6.324440380332108,5.844371342901233,8.462576727730099
2022-08-01,357.048,373.597,366.085,295.097,6.257328389212624,6.747184863264777,6.296457607433226,8.222579178218826
2022-09-01,359.601,376.628,368.911,296.349,6.59360855117872,7.207961150677766,6.6731630584704105,8.192106896425821
2022-10-01,362.353,379.291,371.331,298.007,6.905188996542244,7.51762474806601,6.884293666921892,7.758813957693
2022-11-01,364.695,382.228,373.785,298.786,7.091888272881031,7.908473667123084,7.1318020532986415,7.122856456533988
2022-12-01,367.466,385.247,376.638,298.832,7.467880946740735,8.340832649020768,7.524530305668864,6.404600402357152
2023-01-01,369.911,387.984,378.987,300.42,7.890438607236816,8.554017643553212,7.751554490323365,6.327178517960097
2023-02-01,372.636,390.904,381.63,301.45,8.10287057048782,8.754221868583745,8.010426601986254,5.957820738137087
2023-03-01,374.678,392.787,383.473,301.821,8.164643933532712,8.808578654751265,8.036388428727603,4.917719362889961
2023-04-01,376.404,395.024,385.629,302.845,8.09062975619561,8.803455057262944,8.116238645284302,4.950079879124369
2023-05-01,378.304,397.025,387.629,303.334,8.023894644264473,8.662035820634095,8.051100221326513,4.131851231385042
2023-06-01,380.155,398.949,389.533,304.014,7.809912199106117,8.346459686705622,7.819951782684398,3.070617072997095
2023-07-01,381.895,400.741,391.463,304.609,7.673113792714559,8.04090414002092,7.667236912312347,3.287749268428297
2023-08-01,382.947,402.58,392.889,306.082,7.2536465685286045,7.757824607799324,7.32179685045824,3.722504803505289
2023-09-01,385.285,404.538,394.979,307.276,7.142360560732608,7.41049523667916,7.066202959521406,3.687206638119256
2023-10-01,386.771,406.532,396.753,307.696,6.738732672283665,7.182084468126049,6.846183055010213,3.2512659098611785
2023-11-01,388.525,408.511,398.791,308.148,6.5342272309738325,6.87626233556935,6.68994207900262,3.1333462745911866
2023-12-01,390.139,410.156,400.545,308.741,6.170094648212343,6.4657219913458075,6.347474232552219,3.3159099427102934
2024-01-01,392.322,411.6,402.591,309.698,6.05848433812457,6.086848942224443,6.228181969302371,3.0883429864855705
2024-02-01,394.078,413.427,404.441,310.967,5.754140770081251,5.761772711458568,5.977255456856101,3.157074141648697
2024-03-01,395.827,415.08,406.121,312.345,5.644580146152167,5.6755951699012375,5.906022066742622,3.4868349120836584
2024-04-01,397.196,416.49,407.788,313.023,5.523852031328058,5.434100206569736,5.7461964738129145,3.3607951262196734
2024-05-01,398.689,418.1,409.53,313.175,5.388523515479626,5.308229960329958,5.649990067822563,3.244278584003113
2024-06-01,399.699,419.223,410.765,313.044,5.141060883060877,5.081852567621414,5.450629343341884,2.9702579486470926
2024-07-01,401.139,421.138,412.24,313.569,5.0390814229042125,5.089821106400394,5.307525870899665,2.9414757935583014
2024-08-01,402.895,422.556,414.013,314.062,5.209075929567275,4.961995131402452,5.3765821898805966,2.607144490692037
2024-09-01,403.956,423.858,415.507,314.732,4.846023073828465,4.775818340922244,5.197238334189924,2.4264830315416708
2024-10-01,405.721,425.235,417.356,315.631,4.89954003790356,4.600621845266795,5.1929033932950786,2.578844053871343
2024-11-01,407.114,426.342,418.447,316.528,4.784505501576475,4.364876343599056,4.928897592974768,2.719472461284833
2024-12-01,408.165,427.68,419.793,317.604,4.620404522490706,4.272520699441196,4.805452570872193,2.870690967509981
2025-01-01,409.579,429.087,421.094,318.961,4.398682714708846,4.248542274052469,4.595979542513362,2.9909783078999608
2025-02-01,410.793,430.318,422.36,319.679,4.241546089860382,4.085606406935183,4.430559710810744,2.8015834477613355
2025-03-01,411.639,431.645,423.921,319.785,3.99467444110686,3.990796954803888,4.382930210454528,2.381981462805549
2025-04-01,413.04,433.043,425.341,320.302,3.988962628022441,3.974405147782667,4.304442504438577,2.32538823025783
2025-05-01,414.109,434.038,426.53,320.62,3.867676309103074,3.8120066969624444,4.151100041511002,2.3772651073680873
2025-06-01,414.981,435.033,427.833,321.435,3.823377091261171,3.771262550003218,4.155173882877072,2.680453865910226
2025-07-01,415.931,436.05,429.015,322.169,3.6874998441936535,3.540882086157038,4.069231515621952,2.742618052167134
2025-08-01,417.555,437.294,430.456,323.291,3.6386651608980136,3.487821732504104,3.9716144179047674,2.9385917430316155
2025-09-01,418.422,438.237,431.132,324.245,3.581083088257131,3.3924097221239125,3.7604661293311636,3.0225715847133294
2025-11-01,419.431,439.002,432.524,325.063,3.3791694292383045,3.237503968393951,3.6343074018344135,2.988299628363511
2025-12-01,421.039,440.189,433.884,326.031,3.4204178682138098,3.2478620450248963,3.6891171402829936,3.00226204316838
2026-01-01,421.965,441.285,434.837,326.588,3.380985630811062,3.1811167227833836,3.583670999754629,2.8286797395498997
