date,ahe,payems,unrate,ahe_yoy,ahe_mom,payroll_chg,real_ahe_yoy
2016-01-01,25.37,143210.0,4.8,2.546483427647539,0.47524752475247567,133.0,1.2929802618533826
2016-02-01,25.38,143406.0,4.9,2.3799919322307295,0.039416633819455704,196.0,1.5198371141126765
2016-03-01,25.45,143662.0,5.0,2.4144869215291687,0.2758077226162392,256.0,1.509412658748177
2016-04-01,25.53,143854.0,5.1,2.5713137806347985,0.3143418467583592,192.0,1.3824767518959336
2016-05-01,25.58,143900.0,4.8,2.4429315178213784,0.19584802193497453,46.0,1.3498967371238901
2016-06-01,25.62,144147.0,4.9,2.603123748498204,0.15637216575450363,247.0,1.507566254118431
2016-07-01,25.69,144520.0,4.8,2.7189124350259775,0.2732240437158584,373.0,1.8346179422783493
2016-08-01,25.71,144661.0,4.9,2.430278884462145,0.07785130400934648,141.0,1.3606043513902932
2016-09-01,25.77,144967.0,5.0,2.628434886499398,0.2333722287047868,306.0,1.0633231692781964
2016-10-01,25.9,145065.0,4.9,2.777777777777768,0.5044625533566105,98.0,1.0737501890223156
2016-11-01,25.9,145183.0,4.7,2.5742574257425765,0.0,118.0,0.8751829543229617
2016-12-01,25.93,145408.0,4.7,2.6930693069306955,0.11583011583011782,225.0,0.6293634173071272
2017-01-01,26.0,145628.0,4.7,2.4832479306267308,0.2699575780948704,220.0,-0.026480649174931425
2017-02-01,26.07,145846.0,4.6,2.7186761229314405,0.26923076923077716,218.0,-0.08917929759080234
2017-03-01,26.11,145970.0,4.4,2.59332023575638,0.15343306482547003,124.0,0.1484988508392293
2017-04-01,26.18,146175.0,4.4,2.5460242851547132,0.2680965147453085,205.0,0.3619245267378446
2017-05-01,26.21,146380.0,4.4,2.4628616106333157,0.11459129106188293,205.0,0.5954645778695644
2017-06-01,26.26,146583.0,4.3,2.4980483996877467,0.19076688286914223,203.0,0.8436420861055671
2017-07-01,26.35,146772.0,4.3,2.5690930323083006,0.34272658035034986,189.0,0.8296729328998387
2017-08-01,26.37,146919.0,4.4,2.5670945157526326,0.07590132827324236,147.0,0.6268858374834707
2017-09-01,26.49,147008.0,4.3,2.7939464493597077,0.4550625711035261,89.0,0.6002914718719943
2017-10-01,26.5,147149.0,4.2,2.316602316602312,0.03775009437523291,141.0,0.28998467565366504
2017-11-01,26.54,147372.0,4.2,2.471042471042484,0.15094339622641062,223.0,0.2922005673497985
2017-12-01,26.63,147523.0,4.1,2.699575780948704,0.33911077618689056,151.0,0.5577650522065714
2018-01-01,26.72,147660.0,4.0,2.7692307692307683,0.3379647014645215,137.0,0.6048986033796666
2018-02-01,26.74,148054.0,4.1,2.5700038358266175,0.07485029940119681,394.0,0.2997501531473601
2018-03-01,26.85,148280.0,4.0,2.834163155878988,0.4113687359760698,226.0,0.4917509242183149
2018-04-01,26.91,148420.0,4.0,2.7883880825057217,0.22346368715082665,140.0,0.3097381618743178
2018-05-01,26.98,148742.0,3.8,2.9378099961846704,0.2601263470828785,322.0,0.1516690736109494
2018-06-01,27.03,148960.0,4.0,2.9322162985529365,0.18532246108229344,218.0,0.12126113706418806
2018-07-01,27.1,149020.0,3.8,2.8462998102466885,0.2589715131335657,60.0,-0.0076078381217703495
2018-08-01,27.21,149277.0,3.8,3.1854379977246827,0.405904059040596,257.0,0.5285450964032545
2018-09-01,27.32,149358.0,3.7,3.133257833144598,0.4042631385519968,81.0,0.7829440408553712
2018-10-01,27.37,149527.0,3.8,3.2830188679245254,0.18301610541728852,169.0,0.7717540365260289
2018-11-01,27.44,149617.0,3.8,3.3911077618688834,0.2557544757033181,90.0,1.2176326111704494
2018-12-01,27.56,149809.0,3.9,3.4923019151333,0.4373177842565523,192.0,1.460672778011407
2019-01-01,27.59,150060.0,4.0,3.2559880239521055,0.10885341074020616,251.0,1.7424777525140378
2019-02-01,27.69,150067.0,3.8,3.552729992520587,0.36245016310256783,7.0,2.0034389931417262
2019-03-01,27.77,150295.0,3.8,3.426443202979512,0.2889129649692901,228.0,1.5147316323144366
2019-04-01,27.79,150591.0,3.7,3.270159791898908,0.07202016564638036,296.0,1.2446755484106342
2019-05-01,27.88,150618.0,3.6,3.335804299481082,0.32385750269881,27.0,1.5127265287175007
2019-06-01,27.97,150838.0,3.6,3.4776174620791522,0.3228120516499233,220.0,1.7767299475190956
2019-07-01,28.03,150937.0,3.7,3.4317343173431825,0.2145155523775477,99.0,1.5766088802943168
2019-08-01,28.14,151169.0,3.6,3.4178610804851184,0.39243667499107016,232.0,1.6515223370858978
2019-09-01,28.16,151365.0,3.5,3.0746705710102518,0.0710732054015617,196.0,1.3671433683208223
2019-10-01,28.24,151460.0,3.6,3.178662769455598,0.28409090909089496,95.0,1.4200655074209312
2019-11-01,28.34,151667.0,3.6,3.279883381924198,0.3541076487252104,207.0,1.1632543284787022
2019-12-01,28.38,151794.0,3.6,2.9753265602322276,0.14114326040930436,127.0,0.6409324852113762
2020-01-01,28.43,152031.0,3.6,3.0445813700616053,0.17618040873854657,237.0,0.4335422993517968
2020-02-01,28.54,152293.0,3.5,3.069700252798846,0.38691523039042774,262.0,0.7117199550192854
2020-03-01,28.73,150895.0,4.4,3.4569679510262796,0.6657323055361042,-1398.0,1.934032764314031
2020-04-01,30.04,130426.0,14.8,8.096437567470316,4.559693699965184,-20469.0,7.759100618899795
2020-05-01,29.72,133040.0,13.2,6.599713055954082,-1.0652463382157085,2614.0,6.388848970425776
2020-06-01,29.38,137671.0,11.0,5.04111548087236,-1.144010767160164,4631.0,4.293688211342439
2020-07-01,29.39,139255.0,10.2,4.851944345344261,0.034036759700484254,1584.0,3.817028966014413
2020-08-01,29.49,140821.0,8.4,4.797441364605537,0.3402517863218657,1566.0,3.471894126194086
2020-09-01,29.51,141770.0,7.8,4.794034090909105,0.06781959986437158,949.0,3.356323965014285
2020-10-01,29.54,142460.0,6.9,4.603399433427757,0.10166045408335211,690.0,3.332016415640471
2020-11-01,29.64,142733.0,6.7,4.587155963302747,0.3385240352065111,273.0,3.3717673561503902
2020-12-01,29.91,142548.0,6.7,5.391120507399583,0.9109311740890691,-185.0,4.017651536296252
2021-01-01,29.93,142863.0,6.4,5.276116778051354,0.06686726847207058,315.0,3.849388482666116
2021-02-01,30.05,143380.0,6.2,5.290819901892085,0.4009355162044814,517.0,3.56153206274219
2021-03-01,30.03,144232.0,6.1,4.52488687782806,-0.06655574043260559,852.0,1.8088122624927871
2021-04-01,30.22,144587.0,6.1,0.5992010652463353,0.6327006327006224,355.0,-3.3936153122598567
2021-05-01,30.41,145065.0,5.8,2.3216689098250365,0.6287227001985585,478.0,-2.474867817741566
2021-06-01,30.54,145820.0,5.9,3.9482641252552853,0.42749095692207195,755.0,-1.279605299445552
2021-07-01,30.66,146762.0,5.4,4.321197686287848,0.39292730844793233,942.0,-0.8779231393260312
2021-08-01,30.78,147314.0,5.1,4.374364191251279,0.391389432485334,552.0,-0.7395494116881673
2021-09-01,30.98,147771.0,4.7,4.98136225008472,0.6497725795971299,457.0,-0.3510669893933227
2021-10-01,31.14,148572.0,4.5,5.416384563304,0.5164622336991664,801.0,-0.7706099687769363
2021-11-01,31.23,149230.0,4.1,5.3643724696356365,0.28901734104045396,658.0,-1.4383251573930056
2021-12-01,31.39,149816.0,3.9,4.948177866934134,0.5123278898494954,586.0,-2.0771412375482745
2022-01-01,31.6,150006.0,4.0,5.579685933845635,0.669002867155144,190.0,-1.8400351135787751
2022-02-01,31.64,150825.0,3.9,5.291181364392683,0.12658227848101333,819.0,-2.4515139091555005
2022-03-01,31.8,151315.0,3.7,5.894105894105883,0.5056890012642201,490.0,-2.46665255877071
2022-04-01,31.96,151623.0,3.7,5.757776307081408,0.5031446540880502,308.0,-2.2858121078863647
2022-05-01,32.1,151924.0,3.6,5.557382439986847,0.43804755944931717,301.0,-2.746304569921554
2022-06-01,32.19,152358.0,3.6,5.402750491159125,0.2803738317756821,434.0,-3.281915562491533
2022-07-01,32.34,153072.0,3.5,5.47945205479452,0.4659832246039386,714.0,-2.750372306223192
2022-08-01,32.44,153362.0,3.6,5.393112410656253,0.3092145949288527,290.0,-2.6144883896206728
2022-09-01,32.57,153582.0,3.5,5.132343447385401,0.4007398273736307,220.0,-2.8280838009463793
2022-10-01,32.7,153939.0,3.6,5.009633911368017,0.3991403131716309,357.0,-2.5512345072806197
2022-11-01,32.82,154242.0,3.6,5.091258405379451,0.3669724770642091,303.0,-1.8965122088383302
2022-12-01,32.94,154342.0,3.5,4.937878305192722,0.3656307129798808,100.0,-1.3784386122575376
2023-01-01,33.02,154776.0,3.5,4.493670886075951,0.24286581663632845,434.0,-1.724401660460162
2023-02-01,33.15,155066.0,3.6,4.772439949431084,0.3937007874015519,290.0,-1.1187289248195453
2023-03-01,33.27,155134.0,3.5,4.622641509433967,0.36199095022626526,68.0,-0.2812469192504774
2023-04-01,33.43,155375.0,3.4,4.599499374217775,0.480913736098576,241.0,-0.33404501007562315
2023-05-01,33.5,155655.0,3.6,4.361370716510904,0.2093927609931212,280.0,0.2204123737470587
2023-06-01,33.69,155880.0,3.6,4.659832246039142,0.5671641791044735,225.0,1.5418702421433395
2023-07-01,33.85,156043.0,3.5,4.669140383426096,0.474918373404587,163.0,1.3374200955892368
2023-08-01,33.89,156261.0,3.7,4.469790382244154,0.11816838995568624,218.0,0.7204661902009857
2023-09-01,34.01,156417.0,3.7,4.421246545901125,0.35408675125405686,156.0,0.7079368145616716
2023-10-01,34.08,156576.0,3.9,4.220183486238516,0.20582181711261693,159.0,0.9384074547068577
2023-11-01,34.17,156703.0,3.7,4.113345521023781,0.2640845070422726,127.0,0.9502253944358108
2023-12-01,34.29,156857.0,3.8,4.098360655737721,0.3511852502194879,154.0,0.7573380648355998
2024-01-01,34.47,157032.0,3.7,4.391278013325239,0.5249343832020914,175.0,1.2639014160994666
2024-02-01,34.52,157238.0,3.9,4.132730015082964,0.14505366985786416,206.0,0.9457963804736735
2024-03-01,34.65,157466.0,3.9,4.147880973850304,0.3765932792583859,228.0,0.6387730983639095
2024-04-01,34.76,157530.0,3.9,3.9784624588692807,0.31746031746031633,64.0,0.5975837665483485
2024-05-01,34.89,157608.0,3.9,4.149253731343294,0.3739930955120929,78.0,0.8765378186103012
2024-06-01,35.01,157695.0,4.1,3.918076580587715,0.34393809114359186,87.0,0.9204780592210415
2024-07-01,35.08,157748.0,4.2,3.633677991137363,0.19994287346472017,53.0,0.672423036723524
2024-08-01,35.22,157757.0,4.2,3.9244614930658006,0.3990877993158559,9.0,1.283845300356501
2024-09-01,35.34,157912.0,4.1,3.9106145251396773,0.34071550255538874,155.0,1.448972423607442
2024-10-01,35.46,157945.0,4.1,4.049295774647899,0.339558573853993,33.0,1.4334843937257924
2024-11-01,35.6,158079.0,4.2,4.184957565115588,0.3948110547095318,134.0,1.4266867505410064
2024-12-01,35.69,158316.0,4.1,4.082822980460765,0.2528089887640306,237.0,1.1783064753921213
2025-01-01,35.84,158268.0,4.0,3.974470554105025,0.42028579434016944,-48.0,0.9549304826145466
2025-02-01,35.94,158310.0,4.2,4.113557358053277,0.2790178571428381,42.0,1.2762195544961052
2025-03-01,36.11,158377.0,4.2,4.213564213564225,0.4730105731775236,67.0,1.788969821241504
2025-04-01,36.12,158485.0,4.2,3.9125431530494748,0.02769315978952136,108.0,1.5510861480634075
2025-05-01,36.28,158498.0,4.3,3.9839495557466353,0.44296788482836025,13.0,1.5693762152110047
2025-06-01,36.36,158478.0,4.1,3.8560411311054033,0.22050716648289725,-20.0,1.1448987815445122
2025-07-01,36.47,158542.0,4.3,3.9623717217788013,0.30253025302529046,64.0,1.1871934867304423
2025-08-01,36.62,158472.0,4.3,3.9750141964792762,0.4112969564025182,-70.0,1.0068356637663145
2025-09-01,36.7,158548.0,4.4,3.848330503678543,0.21845985800110768,76.0,0.801532039302888
2025-10-01,36.85,158408.0,,3.9199097574732056,0.4087193460490468,-140.0,
2025-11-01,37.0,158449.0,4.5,3.93258426966292,0.407055630936215,41.0,1.2036836973382536
2025-12-01,37.02,158432.0,4.4,3.7265340431493543,0.0540540540540535,-17.0,1.0454899020044373
2026-01-01,37.15,158592.0,4.3,3.655133928571419,0.35116153430576613,160.0,1.2344151438236084
2026-02-01,37.27,158436.0,4.4,3.7006121313300167,0.32301480484524525,-156.0,1.236511285443842
2026-03-01,37.35,158650.0,4.3,3.433951813901981,0.2146498524282281,214.0,0.14328575176780767
2026-04-01,37.41,158829.0,4.3,3.5714285714285587,0.16064257028112205,179.0,-0.20024935008673417
2026-05-01,37.53,159001.0,4.3,3.4454244762954778,0.320769847634339,172.0,-0.6923429449460672
